title,ctr,retention_rate,views,likes,avg_watch_time
Я бросил IT и стал фермером,18.2,35,45200,1240,4.2
Как я спал по 4 часа и ничего не понял,22.5,28,128700,3150,3.1
Почему сеньоры не носят галстуки,9.5,82,31500,890,8.9
Секрет который скрывают тимлиды,25.0,22,254000,8900,2.5
Купил джуну макбук и он уволился,19.0,38,87600,2100,4.5
Честный обзор на печеньки в офисе,6.0,91,12300,450,10.2
Как я задолжал ревьюеру 1000 строк кода,21.0,35,67300,1890,4.0
Рефакторинг выходного дня,8.5,76,28900,780,7.8
Почему я не использую ChatGPT на собесах,16.5,42,54100,1320,4.8
Я переписал всё на Go и пожалел,14.2,68,43800,1150,6.5
Как я случайно удалил прод и стал спокойнее,23.8,27,198400,6400,2.9
Почему код работает только по пятницам,17.2,44,61200,1500,5.1
Мой первый баг за 5000 долларов,20.5,33,84500,2300,4.3
Как я пытался быть перфекционистом и выгорел,12.0,71,36700,980,6.9
Собес длиной в 6 часов — стоило ли оно того,15.8,48,72500,1750,5.0
Почему junior пишет лучше чем senior,24.1,25,210300,7200,2.7